Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,ClosedDate,OwnerDisplayName
1,1,3,1470116354,5,306,8,"What is ""backprop""?","neural-networks,definitions,terminology",3,3,,,,
2,1,9,1470116420,8,227,8,How does noise affect generalization?,generalization,3,0,1,,,
3,2,,1470116424,11,,4,,,,0,,1,,
4,1,12,1470116482,22,719,8,How to find the optimal number of neurons per layer?,"deep-network,neurons",4,0,7,,,
5,1,14,1470116528,-2,1256,5,How to program AI in Mindstorms,mindstorms,2,4,,,1470119252,
6,1,20,1470116615,4,114,29,On the intelligent agent definition of intelligence,"philosophy,intelligent-agent,terminology",2,1,,,,
7,1,,1470116709,9,378,26,"Why does Stephen Hawking say ""Artificial Intelligence will kill us all""?",intelligent-agent,6,6,1,,1470238600,
8,2,,1470116748,2,,8,,,,0,,5,,
9,2,,1470116822,7,,4,,,,0,,2,,
10,1,32,1470116876,28,934,8,What is fuzzy logic?,"deep-network,fuzzy-logic",3,0,9,,,
11,2,,1470116936,7,,10,,,,0,,2,,
12,2,,1470117027,12,,4,,,,0,,4,,
13,1,163,1470117139,7,92,38,"Can a single neural network handle recognizing two types of objects, or should it be split into two smaller networks?","neural-networks,image-recognition",1,1,,,,
14,2,,1470117144,3,,52,,,,0,,5,,
15,1,,1470117170,27,1423,9,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?","turing-test,strong-ai,intelligent-agent,weak-ai",6,2,8,,,
16,1,142,1470117180,6,109,8,"What is ""early stopping"" in relation to AI, and why is it important?","ai-basics,definitions,overfitting,early-stopping,regularization",1,1,1,,,
17,1,45,1470117218,26,771,55,What is the concept of the technological singularity?,"unassisted-learning,singularity",4,3,9,,,
18,2,,1470117266,3,,29,,,,0,,7,,
19,2,,1470117269,4,,52,,,,1,,7,,
20,2,,1470117285,2,,42,,,,0,,6,,
21,1,,1470117315,2,59,8,What are the methods of optimizing overfitted models?,"deep-network,overfitting,optimization",1,0,,,,
22,2,,1470117370,5,,33,,,,2,,7,,
23,2,,1470117439,3,,4,,,,0,,7,,
24,2,,1470117468,3,,56,,,,2,,7,,
25,2,,1470117493,3,,10,,,,0,,7,,
26,1,189,1470117511,19,555,55,How could emotional intelligence be implemented?,"turing-test,emotional-intelligence",5,1,6,,,
27,2,,1470117719,6,,29,,,,0,,15,,
28,1,143,1470117764,7,2988,55,Is a genetic algorithm an example of artificial intelligence?,"unassisted-learning,genetic-algorithms",5,2,2,,,
31,2,,1470117849,6,,62,,,,0,,10,,
32,2,,1470117879,31,,4,,,,1,,10,,
33,2,,1470117897,2,,8,,,,4,,17,,
35,1,,1470117926,49,8729,69,What is the difference between artificial intelligence and machine learning?,"machine-learning,terminology",13,3,15,,,
36,1,114,1470117985,32,924,29,To what extent can quantum computers help to develop Artificial Intelligence?,quantum-computing,4,1,10,,,
37,1,,1470118049,6,958,55,What is a Markov chain and how can it be used in creating artificial intelligence?,"genetic-algorithms,markov-chain,probabilistic",2,0,3,,,
38,2,,1470118086,2,,33,,,,1,,28,,
39,2,,1470118089,10,,10,,,,0,,15,,
40,1,44,1470118103,9,446,8,"What is the ""dropout"" technique?","deep-network,overfitting,performance",4,0,3,,,
41,1,65,1470118114,7,500,72,Can the IQ of an AI program be measured?,intelligence-testing,3,1,2,,,
