Id,Reputation,CreationDate,DisplayName,LastAccessDate,Location,Views,UpVotes,DownVotes,AccountId
-1,1,1470060850,Community,1470060850,on the server farm,0,0,304,-1
1,101,1470116205,Adam Lear,1527671734,"New York, NY",56,0,0,37099
2,101,1470116208,Nick Craver,1480504162,"Winston-Salem, NC",11,0,0,7598
3,101,1470116281,Geoff Dalgas,1515428546,"Corvallis, OR, United States",11,0,0,2
13,101,1470116334,Jouramie,1471240204,"Québec, QC, Canada",0,0,0,6064666
14,101,1470116338,Taha Akbari,1483918496,"Tabriz, East Azerbaijan, Iran",1,0,0,8247602
17,1,1470116350,Slam,1470126047,,0,0,0,5821510
19,101,1470116367,sepideh,1492000884,Iran,0,0,0,1293467
21,101,1470116377,applecrusher,1470116377,"Troy, NY, United States",0,0,0,2163836
22,101,1470116379,TheBrenny,1493615847,"Darwin, Australia",0,0,0,2581963
23,101,1470116394,jasilva,1471837571,,0,0,0,3727293
24,101,1470116406,Taryn,1502878670,Arizona,0,0,0,188123
25,101,1470116418,Oded,1508280041,"London, United Kingdom",0,0,0,1190
31,101,1470116464,Shog9,1534776241,"Colorado, United States",5,0,0,620
32,101,1470116480,animuson,1534844696,"Kansas City, MO, United States",4,0,0,89201
34,101,1470116494,Sklivvz,1471913648,"Trento, Italy",0,0,0,4623
36,101,1470116518,Colyn1337,1470116518,"Tampa, FL",0,0,0,2802746
40,101,1470116553,cat,1470116553,,1,0,0,5739991
41,101,1470116575,Konamiman,1477009833,"Palma de Mallorca, Spain",1,0,0,3201
44,101,1470116702,ArtOfCode,1532314300,UK,0,0,0,3457374
48,101,1470116812,ProgramFOX,1501655801,,0,0,0,3094403
49,1,1470116847,clonefines22,1486825819,,0,0,0,8681766
51,101,1470116905,Tom,1477747046,"IL, United States",0,0,0,3509973
53,101,1470116927,alexander.polomodov,1528491289,"Moscow, Russia",1,0,0,2600845
54,101,1470116937,Neal,1470117935,"Brooklyn, NY",1,0,0,271284
56,131,1470116979,zavtra,1516085266,,2,0,0,3996319
57,1,1470117002,roa,1505371842,,0,0,0,8048550
59,1,1470117081,DigiGoon,1485938403,India,0,0,0,8398175
60,101,1470117201,Dmitry Petukhov,1470117201,"Yekaterinburg, Sverdlovsk Oblast, Russia",1,0,0,5722539
61,101,1470117251,Grace Note,1515039079,6,0,0,0,102159
67,101,1470117502,Marcus Blankenship,1470122093,Oregon,0,0,0,51522
68,101,1470117554,RMalke,1531804628,"Toronto, ON",0,0,0,434815
73,101,1470117938,NullCoderExists,1493415246,"Bangalore, Karnataka, India",0,0,0,8735007
76,101,1470118257,Nick Larsen,1513785201,"Atlanta, GA",0,0,0,59521
81,101,1470118615,5hahiL,1471932204,"Kochi, India",0,0,0,532469
82,101,1470118616,Bahrom,1534240499,,0,0,1,1859160
83,101,1470118864,Pranav C Balan,1470126350,"Ramanthali, Kannur, Kerala, India",0,0,0,3643696
84,101,1470118927,frogeyedpeas,1483860587,Rutgers University,0,0,0,2245093
85,101,1470118947,Blogueira,1470213825,,1,0,0,1633907
86,101,1470118978,Marcus,1489911843,,0,0,0,3997648
88,101,1470119134,Quantum spaghettification,1531904993,Somewhere between earth and andromeda.,2,0,0,4181558
90,1,1470119168,pgalilea,1470119168,"Concepción, Chile",0,0,0,1637693
91,101,1470119192,j0h4nn3s,1470119192,,0,0,0,4148916
92,1,1470119408,Jon Barker,1470122588,Earth,0,0,0,1724118
94,101,1470119508,scubaFun,1474946461,Florida,0,0,0,2419317
99,101,1470120106,hichris123,1483851838,,0,0,0,3046327
100,101,1470120296,Guerra,1470419904,Brazil,1,0,0,1725552
102,103,1470120636,kelvinelove,1472448530,Harare,0,0,0,3062604
105,101,1470121147,Dmitry  Yaremenko,1470121147,"Kyiv, Ukraine",0,0,0,1857480
106,101,1470121301,Andy,1520222130,,0,0,0,63984
108,101,1470121777,JonMark Perry,1516410037,"belbroughton, uk",0,0,0,5487723
111,101,1470122122,Rhombicuboctahedron,1471872310,,0,0,0,6303906
114,101,1470122652,Khaled Bentoumi,1470122652,France,0,0,0,2393186
115,101,1470122678,jwinterm,1470122678,,0,0,0,2872101
119,1,1470123410,Tal Muskal,1478030712,,0,0,0,3131016
